Title,Company,Location,Stipend,Skills
Content and Social Media Marketing,The Jspot Comedy ClubActively hiring,Mumbai,No Stipend,"Adobe Photoshop, Video Editing, Videography, Photography, Canva, Content Editing"
Anchoring,Xtraamile Edu EventsActively hiring,Mumbai,No Stipend,"Public Speaking, English Proficiency (Spoken), Hindi Proficiency (Spoken), Anchoring, Effective Communication"
Digital Marketing Manager (Female),XENZIAActively hiring,"Ahmedabad, Gandhinagar, Mehsana, Palanpur, Abu Road, Unjha, Patan, Sidhpur Sub-District(Hybrid)",No Stipend,Digital Marketing
Digital Marketing,High Carat Gems & JewelleryActively hiring,"Surat, Navsari, Ankleshwar, Bardoli, Kim, Sayan, Kadodara, Haripura, Amroli",No Stipend,"Social Media Marketing, Google Analytics, Search Engine Marketing (SEM), Digital Marketing, Google AdWords, Search Engine Optimization (SEO), English Proficiency (Written)"
Digital Marketing Manager (Female),XENZIAActively hiring,"Ahmedabad, Amritsar, Chandigarh, Dehradun, Delhi, Gurgaon, Indore, Lucknow, Panjim, Ranchi, Jaipur, Noida, Bangalore, Kanpur, Maharashtra(Hybrid)",No Stipend,"Creative Thinking, Interpersonal skills, Effective Communication"
Business Development (Sales),Xtraamile Edu EventsActively hiring,"Thane, Navi Mumbai, Mumbai",No Stipend,"English Proficiency (Spoken), Hindi Proficiency (Spoken)"
Graphic & Video Editor Manager(Female),XENZIAActively hiring,"Ahmedabad, Amritsar, Chandigarh, Dehradun, Delhi, Gurgaon, Indore, Kanpur, Lucknow, Panjim, Ranchi, Jaipur, Noida, Bangarapet, Maharashtra(Hybrid)",No Stipend,"Video Editing, Creative Direction, Graphic Design"
Graphic Design (Female),High Carat Gems & JewelleryActively hiring,Surat,No Stipend,"CorelDRAW, Video Editing"
Lead Generation - Female,Marketing WorksActively hiring,"Faridabad, Delhi, Ghaziabad, Gurgaon, Greater Noida, Noida(Hybrid)",No Stipend,"Lead Generation, LinkedIn Marketing"
Sales and Marketing,Essel Kitchenware LtdActively hiring,Kolkata(Hybrid),No Stipend,"MS-Word, MS-Excel, Effective Communication"
