id,Title,Locations,Skills
0,Human Resources (HR),Mumbai,MS-Office Time Management English Proficiency (Spoken) English Proficiency (Written) Interpersonal skills Effective Communication
1,Event Management ( ONLY FRESHER SHOULD APPLY),Navi Mumbai Thane,MS-Office Event Management MS-PowerPoint MS-Excel English Proficiency (Spoken) English Proficiency (Written) Canva
2,Marketing,Chennai,Storytelling English Proficiency (Spoken) Sales
3,Anchoring,Mumbai,Public Speaking English Proficiency (Spoken) Hindi Proficiency (Spoken) Anchoring Effective Communication
4,Digital Marketing Manager (Female),Ahmedabad Amritsar Chandigarh Dehradun Delhi Gurgaon Indore Lucknow Panjim Ranchi Jaipur Noida Bangalore Kanpur Maharashtra(Hybrid),Creative Thinking Interpersonal skills Effective Communication
5,Content and Social Media Marketing,Mumbai,Adobe Photoshop Video Editing Videography Photography Canva Content Editing
6,Full Stack Development,Work from home,PHP MySQL HTML CSS JavaScript Python MongoDB
7,Lead Generation,Work from home,MS-Office Digital Marketing E-commerce MS-Excel Lead Generation English Proficiency (Spoken) English Proficiency (Written)
8,Motion Graphics,Work from home,Adobe Illustrator Video Editing Animation Adobe After Effects
9,Social Entrepreneurship,Work from home,Effective Communication
11,Telecalling Executive For Motor Insurance,Surat,Negotiation Sales Effective Communication
12,Law/Legal,Delhi,MS-Office MS-Word English Proficiency (Spoken) English Proficiency (Written)
13,Law/Legal,Work from home,MS-Office MS-Word English Proficiency (Spoken) English Proficiency (Written)
14,Content and Social Media Marketing,Gurgaon,Social Media Marketing Facebook Marketing Instagram Marketing
15,Telecaller,Jaipur,Effective Communication
16,Event Management,Mumbai,MS-Office Event Management
17,Technical Support/Custommer Support,Mumbai,Technical Support Interpersonal skills Effective Communication Customer Support
18,Luxury Marketing,Mumbai,English Proficiency (Spoken) English Proficiency (Written)
19,CS Articleship,Pune,Problem Solving Effective Communication
20,Exhibitions & Programs,Mumbai,English Proficiency (Spoken) English Proficiency (Written)
21,Field Sales,Bangalore,English Proficiency (Spoken)
22,Influencer Marketing,Delhi Noida(Hybrid),Social Media Marketing Event Management Public Relations Public Speaking English Proficiency (Spoken) Instagram Marketing Effective Communication
23,Videography,Bangalore,Video Editing Videography Video Making Effective Communication
24,Entry Level Software Engineer,Mumbai,JavaScript MongoDB Node.js Express.js React
25,Fashion Design And Merchandising,Delhi,Adobe Photoshop Adobe Illustrator Fashion Designing Fashion Styling
26,Human Resources (HR),Delhi,MS-Office MS-Word MS-Excel English Proficiency (Spoken) English Proficiency (Written)
27,Content Writing,Faridabad Delhi,Blogging Creative Writing English Proficiency (Written)
28,Brand Communication,Mumbai,Effective Communication
29,Corporate Sales,Delhi,MS-Office Digital Marketing MS-Excel English Proficiency (Spoken)
30,Digital Marketing,Bangalore,English Proficiency (Spoken)
31,Digital Marketing,Hyderabad(Hybrid),Social Media Marketing Search Engine Marketing (SEM) Digital Marketing Search Engine Optimization (SEO) Facebook Marketing Creative Writing Email Marketing
32,Data Entry - Hyderabad,Secunderabad Hyderabad(Hybrid),MS-Office MS-Excel Data entry English Proficiency (Spoken) English Proficiency (Written)
33,Data Entry - Hyderabad,Hyderabad(Hybrid),MS-Office MS-Excel Data entry English Proficiency (Spoken) English Proficiency (Written) Power BI Data Extraction
34,Finance & Accounting,Bangalore,English Proficiency (Spoken)
35,Digital Marketing,Surat Navsari Ankleshwar Bardoli Kim Sayan Kadodara Haripura Amroli,Social Media Marketing Google Analytics Search Engine Marketing (SEM) Digital Marketing Google AdWords Search Engine Optimization (SEO) English Proficiency (Written)
36,Accounts,Ghaziabad,MS-Office Accounting Tally MS-Excel English Proficiency (Spoken)
37,Customer Acquisition,Bangalore,MS-Excel English Proficiency (Written) Effective Communication ChatGPT
38,Trainer For IT Training Institute,Chennai,Java Python Automation LLM evaluation
39,Video Editing/Making,Delhi Ghaziabad Greater Noida Noida,Adobe Photoshop Adobe Illustrator Video Editing Adobe Premiere Pro Final Cut Pro Video Making
40,Business Development (Sales),Dehradun Mussoorie(Hybrid),Social Media Marketing Digital Marketing Email Marketing MS-Excel English Proficiency (Spoken) English Proficiency (Written) Hindi Proficiency (Spoken)
41,Business Operations,Bangalore(Hybrid),MS-Excel Effective Communication
